hour_route_key,weekday,date,count
23 4 S,true,2016-03-18,3
00 6 S,true,2016-03-18,5
01 6 S,true,2016-03-18,3
00 6 N,true,2016-03-18,2
01 4 S,true,2016-03-18,3
01 6 N,true,2016-03-18,4
02 4 N,true,2016-03-18,4
02 6 S,true,2016-03-18,3
02 4 S,true,2016-03-18,3
02 6 N,true,2016-03-18,3
03 4 N,true,2016-03-18,4
03 6 S,true,2016-03-18,3
03 4 S,true,2016-03-18,3
03 6 N,true,2016-03-18,3
04 6 S,true,2016-03-18,4
04 4 N,true,2016-03-18,2
04 4 S,true,2016-03-18,2
04 6 N,true,2016-03-18,3
05 4 N,true,2016-03-18,4
05 4 S,true,2016-03-18,5
05 6 S,true,2016-03-18,4
05 6 N,true,2016-03-18,4
05 5 S,true,2016-03-18,2
06 4 N,true,2016-03-18,7
06 6 S,true,2016-03-18,10
06 5 S,true,2016-03-18,6
06 4 S,true,2016-03-18,7
06 5 N,true,2016-03-18,3
06 6 N,true,2016-03-18,7
07 4 S,true,2016-03-18,12
07 5 S,true,2016-03-18,10
07 6 S,true,2016-03-18,15
07 4 N,true,2016-03-18,6
07 5 N,true,2016-03-18,4
07 6 N,true,2016-03-18,13
08 4 N,true,2016-03-18,11
08 5 S,true,2016-03-18,13
08 6 S,true,2016-03-18,21
08 4 S,true,2016-03-18,11
08 5 N,true,2016-03-18,5
08 6 N,true,2016-03-18,14
09 4 S,true,2016-03-18,13
09 5 N,true,2016-03-18,13
09 5 S,true,2016-03-18,8
09 4 N,true,2016-03-18,11
09 6 S,true,2016-03-18,15
09 6 N,true,2016-03-18,22
10 4 N,true,2016-03-18,12
10 5 N,true,2016-03-18,10
10 5 S,true,2016-03-18,8
10 6 S,true,2016-03-18,12
10 6 N,true,2016-03-18,13
10 4 S,true,2016-03-18,8
11 5 S,true,2016-03-18,7
11 6 S,true,2016-03-18,15
11 5 N,true,2016-03-18,8
11 4 S,true,2016-03-18,7
11 4 N,true,2016-03-18,8
11 6 N,true,2016-03-18,16
12 6 S,true,2016-03-18,16
12 5 S,true,2016-03-18,8
12 4 S,true,2016-03-18,8
12 5 N,true,2016-03-18,8
12 4 N,true,2016-03-18,8
12 6 N,true,2016-03-18,15
13 5 S,true,2016-03-18,7
13 6 S,true,2016-03-18,13
13 4 S,true,2016-03-18,7
13 5 N,true,2016-03-18,6
13 4 N,true,2016-03-18,8
13 6 N,true,2016-03-18,14
14 6 S,true,2016-03-18,16
14 5 S,true,2016-03-18,8
14 4 S,true,2016-03-18,7
14 5 N,true,2016-03-18,8
14 4 N,true,2016-03-18,7
16 4 N,true,2016-03-18,8
14 6 N,true,2016-03-18,15
15 5 S,true,2016-03-18,10
15 6 S,true,2016-03-18,13
15 4 S,true,2016-03-18,6
15 5 N,true,2016-03-18,7
15 4 N,true,2016-03-18,8
15 6 N,true,2016-03-18,14
16 5 S,true,2016-03-18,11
16 6 S,true,2016-03-18,17
16 4 S,true,2016-03-18,13
16 5 N,true,2016-03-18,8
16 6 N,true,2016-03-18,15
17 5 S,true,2016-03-18,9
17 6 S,true,2016-03-18,19
17 4 S,true,2016-03-18,14
17 5 N,true,2016-03-18,12
17 4 N,true,2016-03-18,9
17 6 N,true,2016-03-18,18
18 6 S,true,2016-03-18,15
18 5 N,true,2016-03-18,10
18 5 S,true,2016-03-18,5
18 4 N,true,2016-03-18,13
18 4 S,true,2016-03-18,9
18 6 N,true,2016-03-18,17
19 5 S,true,2016-03-18,6
19 5 N,true,2016-03-18,8
19 6 S,true,2016-03-18,12
19 4 S,true,2016-03-18,9
19 4 N,true,2016-03-18,8
19 6 N,true,2016-03-18,13
20 5 S,true,2016-03-18,5
20 6 S,true,2016-03-18,11
20 5 N,true,2016-03-18,5
20 4 S,true,2016-03-18,7
20 4 N,true,2016-03-18,11
20 6 N,true,2016-03-18,13
21 5 S,true,2016-03-18,7
21 6 S,true,2016-03-18,9
21 4 S,true,2016-03-18,9
21 5 N,true,2016-03-18,7
21 4 N,true,2016-03-18,7
21 6 N,true,2016-03-18,10
22 6 S,true,2016-03-18,7
22 4 S,true,2016-03-18,7
22 5 S,true,2016-03-18,4
22 4 N,true,2016-03-18,6
22 6 N,true,2016-03-18,8
22 5 N,true,2016-03-18,5
23 6 S,true,2016-03-18,3
23 4 N,true,2016-03-18,1
23 6 N,true,2016-03-18,2
00 4 S,false,2016-03-19,3
00 4 N,false,2016-03-19,4
23 4 N,false,2016-03-19,5
00 6 S,false,2016-03-19,5
01 4 S,false,2016-03-19,3
00 6 N,false,2016-03-19,2
