route	trip	stop	timestamp	arrival	isValid	date
4	040750_4..S13X104	631S	1498907151	1498907116	true	2017-07-01
6	040650_6..S01R	631S	1498908801	1498908760	true	2017-07-01
2	041350_2..N12X004	631N	1498908951	1498908919	true	2017-07-01
4	041100_4..N13X104	631N	1498909356	1498909344	true	2017-07-01
6	041100_6..N01X009	631N	1498907076	1498907052	true	2017-07-01
2	041400_2..S12X004	631S	1498907031	1498906959	true	2017-07-01
4	041550_4..S13X104	631S	1498907976	1498907898	true	2017-07-01
6	041400_6..S01R	631S	1498909416	1498909380	true	2017-07-01
4	042100_4..N13X104	631N	1498910166	1498910138	true	2017-07-01
6	042150_6..N01X009	631N	1498907691	1498907683	true	2017-07-01
6	042200_6..S01R	631S	1498909716	1498909686	true	2017-07-01
2	042600_2..S12X004	631S	1498907436	1498907422	true	2017-07-01
2	042750_2..N12X004	631N	1498909986	1498909979	true	2017-07-01
4	042900_4..N13X104	631N	1498910436	1498910424	true	2017-07-01
4	043150_4..S13X104	631S	1498908501	1498908458	true	2017-07-01
6	043000_6..N01X009	631N	1498908216	1498908213	true	2017-07-01
6	043000_6..S01R	631S	1498910316	1498910291	true	2017-07-01
2	043800_2..S12X004	631S	1498908186	1498908126	true	2017-07-01
2	043800_2..N12X004	631N	1498910616	1498910587	true	2017-07-01
4	043600_4..N13X104	631N	1498911111	1498911050	true	2017-07-01
6	043800_6..N01X009	631N	1498908651	1498908650	true	2017-07-01
6	043800_6..S01R	631S	1498910961	1498910935	true	2017-07-01
4	043950_4..S13X104	631S	1498909101	1498909066	true	2017-07-01
4	044450_4..N13X104	631N	1498911351	1498911323	true	2017-07-01
4	044750_4..S13X104	631S	1498909566	1498909521	true	2017-07-01
6	044600_6..N01X009	631N	1498909161	1498909148	true	2017-07-01
6	044600_6..S01R	631S	1498911351	1498911319	true	2017-07-01
2	045000_2..S12X004	631S	1498908861	1498908838	true	2017-07-01
2	045100_2..N12X004	631N	1498911291	1498911264	true	2017-07-01
4	045250_4..N13X104	631N	1498912356	1498912329	true	2017-07-01
6	045350_6..S01R	631S	1498911651	1498911617	true	2017-07-01
4	045550_4..S13X104	631S	1498910196	1498910168	true	2017-07-01
6	045400_6..N01X009	631N	1498909716	1498909682	true	2017-07-01
2	046200_2..S12X004	631S	1498909596	1498909567	true	2017-07-01
2	046300_2..N12X004	631N	1498912026	1498912012	true	2017-07-01
4	046050_4..N13X104	631N	1498912596	1498912526	true	2017-07-01
6	046200_6..N01X009	631N	1498910301	1498910281	true	2017-07-01
4	046850_4..N13X104	631N	1498912971	1498912942	true	2017-07-01
4	047150_4..S13X104	631S	1498910841	1498910769	true	2017-07-01
6	046950_6..N01X009	631N	1498910616	1498910573	true	2017-07-01
6	046950_6..S01R	631S	1498912716	1498912701	true	2017-07-01
2	047400_2..S12X004	631S	1498910316	1498910312	true	2017-07-01
2	047500_2..N12X004	631N	1498912836	1498912819	true	2017-07-01
4	047650_4..N13X104	631N	1498913361	1498913312	true	2017-07-01
6	047750_6..N01X009	631N	1498911201	1498911200	true	2017-07-01
6	047750_6..S01R	631S	1498913046	1498912989	true	2017-07-01
4	047950_4..S13X104	631S	1498911471	1498911436	true	2017-07-01
2	048600_2..S12X004	631S	1498911171	1498911118	true	2017-07-01
2	048700_2..N12X004	631N	1498913421	1498913414	true	2017-07-01
4	048750_4..S13X104	631S	1498912026	1498911992	true	2017-07-01
6	048550_6..N01X009	631N	1498911561	1498911540	true	2017-07-01
6	048550_6..S01R	631S	1498913781	1498913743	true	2017-07-01
6	049350_6..N01X009	631N	1498912116	1498912077	true	2017-07-01
6	049350_6..S01R	631S	1498914021	1498914016	true	2017-07-01
2	049800_2..S12X004	631S	1498911891	1498911857	true	2017-07-01
4	049550_4..S13X104	631S	1498912356	1498912293	true	2017-07-01
